epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0938,0.69647,0.6932,1.06347,0.56424,0.34397,0.28893,0.18257,1.34897,2.20062,1.58628,8.459e-05,8.459e-05,8.459e-05
2,44.9367,0.69037,0.62427,1.02209,0.87529,0.27014,0.33557,0.20239,1.43132,2.09737,1.75522,0.000173368,0.000173368,0.000173368
3,55.5432,0.74763,0.68176,1.06388,0.73704,0.30744,0.37142,0.2098,1.43958,2.22455,1.75036,0.000258492,0.000258492,0.000258492
4,70.1605,0.72815,0.6985,1.05826,0.73179,0.24108,0.25816,0.16295,1.46454,2.65517,1.70122,0.000339961,0.000339961,0.000339961
5,82.3597,0.78953,0.76153,1.07992,0.67294,0.21677,0.24256,0.15216,1.67363,2.73559,1.89123,0.000417776,0.000417776,0.000417776
6,95.8767,0.7475,0.73755,1.07968,0.50373,0.3553,0.29621,0.20112,1.56476,2.4038,1.75838,0.000491937,0.000491937,0.000491937
7,111.357,0.77774,0.73227,1.0521,0.52357,0.26701,0.19723,0.11654,1.47233,2.68713,1.68779,0.000562444,0.000562444,0.000562444
8,121.255,0.84582,0.81462,1.09069,0.43656,0.23609,0.25432,0.14619,1.4913,2.32764,1.81982,0.000629296,0.000629296,0.000629296
9,135.686,0.81377,0.80122,1.1006,0.50948,0.22585,0.2202,0.12164,1.65057,2.64835,1.93826,0.00064719,0.00064719,0.00064719
10,148.955,0.84849,0.8379,1.15186,0.28476,0.18322,0.15351,0.09108,1.68448,2.81443,1.92693,0.000631964,0.000631964,0.000631964
11,160.798,0.89064,0.87297,1.08731,0.52403,0.16293,0.14809,0.08408,1.66125,2.87727,1.80993,0.000616738,0.000616738,0.000616738
12,175.451,0.84288,0.83495,1.12202,0.64829,0.19184,0.21284,0.14536,1.53868,2.61296,1.80789,0.000601512,0.000601512,0.000601512
13,187.01,0.857,0.84338,1.12853,0.55241,0.26623,0.25768,0.16564,1.5909,2.52466,1.79941,0.000586286,0.000586286,0.000586286
14,199.597,0.81494,0.83273,1.11191,0.28276,0.3838,0.30627,0.19314,1.63956,2.6384,1.79329,0.000571059,0.000571059,0.000571059
15,213.618,0.83859,0.80275,1.09667,0.31608,0.21921,0.28298,0.17854,1.51548,2.4831,1.7425,0.000555833,0.000555833,0.000555833
16,225.968,0.84431,0.86044,1.15413,0.25945,0.33616,0.30328,0.19542,1.45858,2.28131,1.71186,0.000540607,0.000540607,0.000540607
17,243.364,0.81105,0.77693,1.09522,0.39173,0.2449,0.2349,0.1487,1.48239,2.24589,1.84152,0.000525381,0.000525381,0.000525381
18,254.163,0.78931,0.72583,1.08544,0.38815,0.21599,0.20797,0.13088,1.4649,2.3438,1.81628,0.000510155,0.000510155,0.000510155
19,265.992,0.81877,0.74962,1.10664,0.34403,0.22634,0.21915,0.13597,1.44863,2.5223,1.86614,0.000494928,0.000494928,0.000494928
20,280.455,0.75189,0.70218,1.07189,0.76297,0.18622,0.23368,0.14186,1.68858,2.68326,1.99222,0.000479702,0.000479702,0.000479702
21,290.838,0.76856,0.69559,1.0612,0.71041,0.2229,0.24367,0.146,1.64663,2.79684,1.91357,0.000464476,0.000464476,0.000464476
22,305.45,0.75421,0.68095,1.05435,0.44475,0.34184,0.33891,0.21165,1.56703,2.43052,1.88755,0.00044925,0.00044925,0.00044925
23,318.777,0.75671,0.70314,1.05029,0.70906,0.23639,0.32235,0.19689,1.59225,2.35929,1.86969,0.000434024,0.000434024,0.000434024
24,330.859,0.76785,0.69301,1.06645,0.65251,0.23639,0.33587,0.21501,1.60761,2.33108,1.83723,0.000418797,0.000418797,0.000418797
25,345.45,0.7021,0.65417,1.03503,0.59373,0.23639,0.24801,0.14421,1.50528,2.53211,1.73905,0.000403571,0.000403571,0.000403571
26,357.323,0.73069,0.69567,1.08787,0.48458,0.19763,0.22415,0.13359,1.37724,2.61366,1.67121,0.000388345,0.000388345,0.000388345
27,370.392,0.72954,0.66087,1.05379,0.57188,0.22553,0.25457,0.15921,1.2913,2.63499,1.66349,0.000373119,0.000373119,0.000373119
28,384.544,0.72506,0.65073,1.04908,0.51998,0.25692,0.3175,0.19434,1.34399,2.49129,1.69335,0.000357893,0.000357893,0.000357893
29,394.855,0.6762,0.61135,1.02315,0.5448,0.2585,0.28378,0.19683,1.34519,2.72138,1.69351,0.000342666,0.000342666,0.000342666
30,410.09,0.67702,0.62932,1.02622,0.70205,0.2585,0.29893,0.22083,1.25658,2.48708,1.65639,0.00032744,0.00032744,0.00032744
31,421.725,0.66747,0.61229,1.02492,0.72441,0.22879,0.30013,0.21059,1.38401,2.55102,1.70818,0.000312214,0.000312214,0.000312214
32,433.982,0.66477,0.55142,1.01256,0.67867,0.22354,0.28873,0.18076,1.37461,2.53613,1.72043,0.000296988,0.000296988,0.000296988
33,448.602,0.63867,0.58501,1.01553,0.57836,0.24195,0.27494,0.17123,1.41136,2.62439,1.74397,0.000281762,0.000281762,0.000281762
34,458.469,0.68634,0.60077,1.06266,0.56242,0.23183,0.25992,0.15471,1.42802,2.76235,1.72624,0.000266535,0.000266535,0.000266535
35,476.165,0.659,0.56226,1.01923,0.64193,0.21294,0.27644,0.15472,1.49618,2.6969,1.80015,0.000251309,0.000251309,0.000251309
36,490.833,0.63198,0.55176,1.01567,0.43912,0.25438,0.29168,0.15836,1.45646,2.59844,1.7772,0.000236083,0.000236083,0.000236083
37,500.345,0.62404,0.54132,0.9836,0.86063,0.19898,0.30931,0.20484,1.39941,2.41904,1.73031,0.000220857,0.000220857,0.000220857
38,514.084,0.59733,0.52832,0.99813,0.43736,0.29086,0.34239,0.22245,1.41527,2.41235,1.78504,0.000205631,0.000205631,0.000205631
39,526.062,0.58027,0.51819,0.9851,0.46482,0.22449,0.28938,0.20649,1.32441,2.45393,1.66645,0.000190404,0.000190404,0.000190404
40,539.66,0.58958,0.53693,1.01432,0.38577,0.22959,0.25481,0.18518,1.26969,2.58941,1.58626,0.000175178,0.000175178,0.000175178
41,566.479,0.54839,0.45722,0.9174,0.38773,0.24522,0.2642,0.19307,1.29959,2.69638,1.59118,0.000159952,0.000159952,0.000159952
42,580.638,0.52784,0.43607,0.91859,0.37981,0.2415,0.26665,0.18021,1.30967,2.63447,1.63192,0.000144726,0.000144726,0.000144726
43,593.153,0.5163,0.45149,0.91535,0.2046,0.27705,0.27652,0.19667,1.3148,2.56985,1.6896,0.0001295,0.0001295,0.0001295
44,604.477,0.50378,0.41465,0.91694,0.2707,0.33279,0.27587,0.18606,1.3155,2.49242,1.68724,0.000114273,0.000114273,0.000114273
45,619.719,0.5003,0.40552,0.91366,0.32018,0.3582,0.28209,0.18684,1.3141,2.48073,1.6777,9.90472e-05,9.90472e-05,9.90472e-05
46,630.61,0.49196,0.39829,0.90005,0.32105,0.35621,0.28871,0.19988,1.31104,2.54219,1.66547,8.3821e-05,8.3821e-05,8.3821e-05
47,644.751,0.4862,0.38302,0.90432,0.26919,0.31796,0.29484,0.20425,1.25933,2.55458,1.6412,6.85948e-05,6.85948e-05,6.85948e-05
48,656.104,0.48338,0.38051,0.89448,0.72111,0.28547,0.32337,0.22371,1.23982,2.55483,1.60863,5.33686e-05,5.33686e-05,5.33686e-05
49,669.002,0.47194,0.40311,0.90796,0.64224,0.3502,0.32149,0.22248,1.24161,2.53885,1.60376,3.81424e-05,3.81424e-05,3.81424e-05
50,684.645,0.48254,0.39196,0.92115,0.68435,0.34284,0.33313,0.23629,1.24889,2.54348,1.6012,2.29162e-05,2.29162e-05,2.29162e-05
