epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8352,1.42246,3.38381,1.52739,0.17266,0.24368,0.12113,0.07144,1.6204,4.54466,1.82214,0.000465508,0.000465508,0.000465508
2,73.3117,1.56023,2.50952,1.63982,0.33163,0.23539,0.07188,0.03385,1.83795,15.9858,2.23866,0.000935625,0.000935625,0.000935625
3,107.499,1.73984,2.61845,1.81586,0.06874,0.23893,0.10127,0.05654,2.19418,28.8501,2.6153,0.00139945,0.00139945,0.00139945
4,139.669,1.83155,2.58115,1.83783,0.10373,0.13523,0.0407,0.01817,2.16593,12.1105,2.32597,0.00140071,0.00140071,0.00140071
5,172.07,1.74872,2.55871,1.79391,0.20571,0.18996,0.13503,0.07402,2.02733,19.3623,2.30234,0.00139127,0.00139127,0.00139127
6,204.164,1.76341,2.56522,1.81705,0.48073,0.1652,0.11015,0.06109,1.87876,8.28169,2.12851,0.00138184,0.00138184,0.00138184
7,233.679,1.7237,2.46676,1.77415,0.22384,0.28138,0.18022,0.10583,1.832,5.45796,2.01397,0.00137241,0.00137241,0.00137241
8,264.488,1.65127,2.35244,1.71141,0.46764,0.18009,0.16325,0.07484,1.87602,6.54511,2.01512,0.00136298,0.00136298,0.00136298
9,296.295,1.66191,2.35933,1.71184,0.09427,0.20859,0.09816,0.0482,1.7239,2.97655,1.8061,0.00135355,0.00135355,0.00135355
10,328.428,1.63326,2.29458,1.72494,0.29898,0.27815,0.23771,0.14806,1.66821,2.61849,1.85224,0.00134412,0.00134412,0.00134412
11,358.294,1.61659,2.26477,1.69248,0.29576,0.3092,0.2283,0.14697,1.70697,3.08163,1.81654,0.00133469,0.00133469,0.00133469
12,392.75,1.58226,2.21596,1.65608,0.24597,0.28561,0.21128,0.12198,1.56588,4.18412,1.69312,0.00132525,0.00132525,0.00132525
13,424.376,1.62129,2.23504,1.68341,0.21591,0.37831,0.22014,0.12894,1.59661,3.32605,1.7017,0.00131582,0.00131582,0.00131582
14,456.083,1.55952,2.11552,1.64342,0.35097,0.23534,0.2153,0.12185,1.56768,3.37731,1.68331,0.00130639,0.00130639,0.00130639
15,487.972,1.53805,2.17863,1.64498,0.25877,0.31131,0.18162,0.10499,1.726,2.77953,1.81009,0.00129696,0.00129696,0.00129696
16,517.282,1.53425,2.09243,1.64146,0.36257,0.23259,0.25858,0.17816,1.54639,2.64045,1.66587,0.00128753,0.00128753,0.00128753
17,548.478,1.51897,2.03167,1.61392,0.2556,0.32595,0.2287,0.13737,1.5611,2.40372,1.67888,0.0012781,0.0012781,0.0012781
18,580.62,1.52143,2.09022,1.63023,0.33246,0.34276,0.27896,0.17809,1.59175,2.33509,1.72323,0.00126867,0.00126867,0.00126867
19,612.54,1.44785,2.02189,1.57239,0.31201,0.29801,0.27469,0.16654,1.73022,2.51633,1.81235,0.00125923,0.00125923,0.00125923
20,640.826,1.4616,1.89695,1.57142,0.32751,0.35887,0.29752,0.19232,1.57898,2.35894,1.7592,0.0012498,0.0012498,0.0012498
21,672.68,1.44746,1.94339,1.57062,0.50712,0.29218,0.33233,0.21489,1.52153,2.2813,1.64922,0.00124037,0.00124037,0.00124037
22,708.162,1.43462,1.91305,1.54746,0.2806,0.29587,0.20983,0.13387,1.56222,2.85659,1.67417,0.00123094,0.00123094,0.00123094
23,740.257,1.44516,1.98339,1.55073,0.49522,0.31965,0.33227,0.20684,1.50497,2.27272,1.61905,0.00122151,0.00122151,0.00122151
24,771.609,1.43464,1.92478,1.55703,0.39547,0.33667,0.29141,0.17198,1.56839,2.41743,1.74984,0.00121208,0.00121208,0.00121208
25,800.606,1.35797,1.87758,1.52715,0.47378,0.33414,0.3459,0.2226,1.53105,2.0829,1.72692,0.00120265,0.00120265,0.00120265
26,832.473,1.40034,1.84512,1.53723,0.26739,0.3599,0.26044,0.16808,1.56623,2.38608,1.70506,0.00119322,0.00119322,0.00119322
27,864.479,1.37142,1.81995,1.51377,0.35862,0.39704,0.28579,0.18969,1.45565,2.42842,1.61894,0.00118378,0.00118378,0.00118378
