epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.879,1.53421,3.80281,1.54434,0.00734,0.74157,0.13859,0.07772,1.43495,3.61576,1.46478,0.000361721,0.000361721,0.000361721
2,84.4998,1.61868,3.14822,1.60669,0.3324,0.22112,0.15789,0.0924,1.68838,3.23081,1.6795,0.000727223,0.000727223,0.000727223
3,122.517,1.6837,3.03714,1.6703,0.32552,0.18686,0.12596,0.06445,1.8959,3.64576,2.01498,0.00108784,0.00108784,0.00108784
4,160.162,1.71694,2.90803,1.69984,0.33559,0.26344,0.1158,0.05392,1.88311,6.32138,2.01832,0.001089,0.001089,0.001089
5,197.049,1.6957,2.83062,1.66336,0.70499,0.1119,0.13882,0.06501,1.89127,4.53703,2.00358,0.00108167,0.00108167,0.00108167
6,234.499,1.69966,2.78499,1.66099,0.46413,0.23679,0.17871,0.09552,1.79369,2.654,1.79513,0.00107434,0.00107434,0.00107434
7,272.077,1.64613,2.58336,1.62846,0.69284,0.2192,0.17507,0.07955,1.80416,2.94462,1.87174,0.001067,0.001067,0.001067
8,310.276,1.71746,2.57439,1.68916,0.49384,0.17444,0.0782,0.03996,2.05079,5.3952,2.0342,0.00105967,0.00105967,0.00105967
9,347.338,1.59043,2.47697,1.59115,0.37301,0.20141,0.16525,0.09088,1.81629,3.57734,1.87296,0.00105234,0.00105234,0.00105234
10,384.715,1.57376,2.3811,1.60722,0.58043,0.20551,0.15712,0.06845,1.81904,2.95023,1.8731,0.00104501,0.00104501,0.00104501
11,422.921,1.63182,2.33659,1.61101,0.59176,0.24085,0.21396,0.11109,1.71772,2.50852,1.75364,0.00103767,0.00103767,0.00103767
12,459.747,1.56604,2.36791,1.5847,0.64481,0.28675,0.25406,0.13388,1.73028,2.47164,1.82841,0.00103034,0.00103034,0.00103034
13,496.839,1.62586,2.29595,1.63203,0.55379,0.27655,0.23799,0.1278,1.79612,2.49743,1.78822,0.00102301,0.00102301,0.00102301
14,534.094,1.55031,2.23136,1.55664,0.67235,0.26121,0.24213,0.12564,1.70279,2.39472,1.78688,0.00101568,0.00101568,0.00101568
15,571.105,1.5441,2.18701,1.57679,0.46396,0.33321,0.23163,0.11733,1.76075,2.48575,1.80176,0.00100834,0.00100834,0.00100834
16,608.703,1.54911,2.16102,1.56577,0.67417,0.22519,0.23402,0.1232,1.78327,2.43666,1.86403,0.00100101,0.00100101,0.00100101
17,645.371,1.5692,2.1483,1.58084,0.64981,0.26241,0.25356,0.13204,1.72267,2.21785,1.75366,0.000993678,0.000993678,0.000993678
18,682.05,1.51402,2.0742,1.54874,0.73611,0.21276,0.27899,0.13846,1.83118,2.38348,1.88161,0.000986346,0.000986346,0.000986346
