epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2959,0.57412,0.49226,0.99232,0.51997,0.41197,0.4266,0.29063,1.56328,2.08093,1.79246,0.000465508,0.000465508,0.000465508
2,68.6998,0.69497,0.57093,1.045,0.64149,0.45588,0.43288,0.29887,1.51628,2.04877,1.72546,0.000932517,0.000932517,0.000932517
3,102.814,0.7949,0.71959,1.09817,0.46993,0.47028,0.4285,0.27844,1.67891,2.08931,1.88343,0.00139009,0.00139009,0.00139009
4,137.233,0.86178,0.79864,1.13808,0.44451,0.3528,0.35605,0.22622,1.70017,2.78545,1.85655,0.00138656,0.00138656,0.00138656
5,167.623,0.86343,0.84886,1.13635,0.46247,0.3224,0.33987,0.22141,1.67589,2.38862,1.94252,0.00137241,0.00137241,0.00137241
6,204.754,0.9116,0.91367,1.18116,0.36683,0.40857,0.29733,0.18523,1.65376,2.73107,1.87854,0.00135826,0.00135826,0.00135826
7,238.478,0.88526,0.87247,1.15044,0.52812,0.38153,0.34254,0.22048,1.74354,3.02345,1.99406,0.00134412,0.00134412,0.00134412
8,268.887,0.89565,0.87068,1.16522,0.46471,0.43558,0.39231,0.25224,1.56915,2.27556,1.81918,0.00132997,0.00132997,0.00132997
9,301.673,0.91249,0.85176,1.17467,0.43515,0.42351,0.39082,0.25871,1.70659,2.28742,1.90938,0.00131582,0.00131582,0.00131582
10,335.708,0.87524,0.83572,1.1548,0.53132,0.39047,0.36719,0.22744,1.66929,2.04245,1.91218,0.00130168,0.00130168,0.00130168
11,368.45,0.88657,0.83676,1.15534,0.54399,0.43058,0.39732,0.26925,1.61718,2.53069,1.91647,0.00128753,0.00128753,0.00128753
12,398.96,0.87327,0.83429,1.15291,0.62767,0.36622,0.41988,0.27373,1.56602,2.01933,1.79227,0.00127338,0.00127338,0.00127338
13,432.868,0.88182,0.79709,1.16175,0.52827,0.42575,0.43647,0.28334,1.67835,2.01486,1.86854,0.00125923,0.00125923,0.00125923
14,466.573,0.85951,0.78508,1.14684,0.55889,0.37902,0.40748,0.25155,1.66018,2.09951,1.81158,0.00124509,0.00124509,0.00124509
15,503.38,0.88357,0.82313,1.16896,0.40054,0.4299,0.35576,0.2263,1.60543,2.14637,1.76197,0.00123094,0.00123094,0.00123094
16,534.039,0.89503,0.82483,1.15978,0.46298,0.43754,0.40414,0.2556,1.63344,2.27517,1.92763,0.00121679,0.00121679,0.00121679
17,567.213,0.8529,0.73155,1.12694,0.53811,0.38731,0.39934,0.24866,1.73144,2.22953,2.00417,0.00120265,0.00120265,0.00120265
18,600.452,0.85148,0.78105,1.13005,0.57535,0.39495,0.40113,0.24785,1.58832,2.23102,1.75075,0.0011885,0.0011885,0.0011885
19,630.755,0.85444,0.78452,1.15179,0.45191,0.40594,0.38835,0.25962,1.65324,2.2996,1.96516,0.00117435,0.00117435,0.00117435
20,663.285,0.83097,0.71894,1.11949,0.61243,0.46012,0.45836,0.29748,1.59733,1.90079,1.81451,0.00116021,0.00116021,0.00116021
21,696.6,0.83154,0.78302,1.13018,0.41574,0.42645,0.34976,0.22738,1.68286,2.15632,1.90679,0.00114606,0.00114606,0.00114606
22,728.58,0.83219,0.72817,1.13095,0.50392,0.36881,0.38072,0.24743,1.60634,1.88737,1.84786,0.00113191,0.00113191,0.00113191
23,760.156,0.86834,0.79634,1.13743,0.55722,0.39684,0.45108,0.2953,1.61549,1.8925,1.84866,0.00111776,0.00111776,0.00111776
24,797.359,0.85152,0.75516,1.15118,0.50878,0.52689,0.45316,0.28383,1.65581,1.81452,1.87634,0.00110362,0.00110362,0.00110362
25,830.419,0.81142,0.73288,1.11554,0.51432,0.47041,0.46746,0.31441,1.56451,1.94084,1.81777,0.00108947,0.00108947,0.00108947
26,863.041,0.851,0.73482,1.13848,0.57791,0.38261,0.42506,0.26679,1.6234,2.0017,1.8363,0.00107532,0.00107532,0.00107532
27,893.917,0.8247,0.72735,1.11792,0.52601,0.42926,0.41713,0.27798,1.65096,2.13654,1.88103,0.00106118,0.00106118,0.00106118
28,926.504,0.81173,0.70359,1.10951,0.52129,0.38653,0.38432,0.24449,1.62343,2.32551,1.88573,0.00104703,0.00104703,0.00104703
29,959.672,0.7946,0.66303,1.10306,0.52229,0.44512,0.40837,0.26604,1.7014,2.27871,1.98334,0.00103288,0.00103288,0.00103288
30,991.452,0.78715,0.66152,1.09637,0.59688,0.41041,0.43045,0.27784,1.76385,2.20607,2.0467,0.00101873,0.00101873,0.00101873
31,1022.97,0.80284,0.70976,1.10058,0.52703,0.3478,0.38221,0.23705,1.69479,2.20146,1.91008,0.00100459,0.00100459,0.00100459
32,1056.2,0.78689,0.69079,1.10174,0.59804,0.4147,0.43956,0.30567,1.60108,2.21813,1.84937,0.00099044,0.00099044,0.00099044
33,1089,0.76471,0.66767,1.07316,0.50351,0.48428,0.44194,0.27885,1.61529,2.11513,1.84713,0.000976293,0.000976293,0.000976293
34,1124.74,0.76629,0.65395,1.06744,0.42991,0.42617,0.38174,0.23725,1.64384,2.2757,1.88476,0.000962146,0.000962146,0.000962146
35,1154.41,0.80645,0.70335,1.11492,0.4752,0.4376,0.41079,0.27492,1.52272,2.09067,1.73576,0.000947999,0.000947999,0.000947999
36,1186.57,0.77214,0.65371,1.08208,0.55718,0.39142,0.4152,0.27499,1.59953,2.25792,1.84286,0.000933851,0.000933851,0.000933851
37,1219.83,0.75306,0.63176,1.06371,0.51554,0.42281,0.42965,0.28795,1.59742,2.28737,1.81186,0.000919704,0.000919704,0.000919704
38,1252.32,0.73192,0.63319,1.06501,0.54827,0.4314,0.43529,0.29109,1.58762,1.98722,1.86251,0.000905557,0.000905557,0.000905557
39,1282.92,0.75827,0.61747,1.07172,0.54231,0.39818,0.41364,0.28492,1.5928,2.24297,1.79239,0.00089141,0.00089141,0.00089141
40,1316.3,0.74718,0.62447,1.07401,0.54561,0.42676,0.46275,0.2868,1.5681,1.996,1.738,0.000877263,0.000877263,0.000877263
41,1349.52,0.71457,0.57694,1.0371,0.46624,0.43294,0.43589,0.29631,1.54892,2.0486,1.77155,0.000863116,0.000863116,0.000863116
42,1380.46,0.7276,0.60001,1.05878,0.60807,0.39866,0.41789,0.27303,1.68627,2.09241,1.90385,0.000848969,0.000848969,0.000848969
43,1416.02,0.72917,0.59028,1.06129,0.51008,0.4304,0.44168,0.29263,1.79526,2.12804,2.00269,0.000834822,0.000834822,0.000834822
44,1447.93,0.72324,0.60284,1.05422,0.49913,0.4618,0.44621,0.29198,1.5656,1.85045,1.78601,0.000820675,0.000820675,0.000820675
45,1481.41,0.70001,0.58979,1.04296,0.47701,0.45112,0.41286,0.28421,1.49558,1.84656,1.71955,0.000806528,0.000806528,0.000806528
46,1514.85,0.7036,0.58054,1.04279,0.50936,0.39877,0.41841,0.27455,1.63119,2.05506,1.88779,0.00079238,0.00079238,0.00079238
47,1545.13,0.6704,0.54331,1.01812,0.49523,0.49018,0.48358,0.3106,1.70988,1.97371,1.95575,0.000778233,0.000778233,0.000778233
48,1577.71,0.70131,0.57209,1.05273,0.68729,0.41201,0.46947,0.31445,1.58071,2.14118,1.85915,0.000764086,0.000764086,0.000764086
49,1611.35,0.68922,0.57393,1.04652,0.55318,0.50981,0.48552,0.32983,1.57864,1.82486,1.8122,0.000749939,0.000749939,0.000749939
50,1643.74,0.68292,0.54629,1.02794,0.50751,0.47944,0.46675,0.31635,1.53922,1.9843,1.80668,0.000735792,0.000735792,0.000735792
51,1674.41,0.69102,0.54698,1.0473,0.61142,0.41458,0.44697,0.29098,1.57988,2.2787,1.82466,0.000721645,0.000721645,0.000721645
52,1711.3,0.69651,0.54983,1.04874,0.67882,0.38707,0.45574,0.31351,1.56093,1.89012,1.78774,0.000707498,0.000707498,0.000707498
53,1744.46,0.66777,0.53085,1.02674,0.58636,0.38703,0.43398,0.28724,1.6416,2.01892,1.88986,0.000693351,0.000693351,0.000693351
54,1776.92,0.66848,0.51486,1.02714,0.44174,0.49795,0.41214,0.25961,1.61066,2.29643,1.84889,0.000679204,0.000679204,0.000679204
55,1807.14,0.63907,0.52205,1.0104,0.56214,0.41963,0.44457,0.29112,1.53451,2.04352,1.76367,0.000665057,0.000665057,0.000665057
56,1840.39,0.65237,0.52641,1.02557,0.46022,0.53188,0.46565,0.31413,1.52364,1.94129,1.8146,0.000650909,0.000650909,0.000650909
57,1873.57,0.63338,0.50424,1.01143,0.50741,0.50241,0.4905,0.33589,1.50746,1.94833,1.76346,0.000636762,0.000636762,0.000636762
58,1904.73,0.63794,0.51386,1.01301,0.51576,0.40979,0.45716,0.31636,1.55095,1.99723,1.78603,0.000622615,0.000622615,0.000622615
59,1936.57,0.66408,0.54694,1.02451,0.53002,0.52182,0.47579,0.33607,1.56995,1.99088,1.81527,0.000608468,0.000608468,0.000608468
60,1969.39,0.60975,0.49969,0.99403,0.66319,0.40911,0.47793,0.32867,1.54209,2.00625,1.81595,0.000594321,0.000594321,0.000594321
61,2004.97,0.63696,0.51068,1.00727,0.59323,0.45904,0.45344,0.31359,1.52862,2.03038,1.83566,0.000580174,0.000580174,0.000580174
62,2037.34,0.60289,0.48342,0.99829,0.539,0.47491,0.44055,0.31134,1.51108,2.10302,1.79077,0.000566027,0.000566027,0.000566027
63,2067.53,0.61154,0.48889,0.9918,0.55422,0.43182,0.44273,0.31016,1.52095,2.1823,1.77343,0.00055188,0.00055188,0.00055188
64,2100.21,0.61608,0.48858,0.99753,0.51337,0.45703,0.46375,0.31929,1.56725,2.0254,1.84063,0.000537733,0.000537733,0.000537733
65,2132.77,0.58632,0.47047,0.98161,0.62047,0.42424,0.43824,0.30321,1.53414,2.05308,1.75724,0.000523586,0.000523586,0.000523586
66,2164.83,0.60477,0.48304,1.00909,0.70532,0.38731,0.45564,0.31204,1.51096,1.99398,1.73959,0.000509438,0.000509438,0.000509438
67,2194.66,0.59421,0.46124,0.99321,0.58316,0.41964,0.43151,0.29993,1.52024,2.13822,1.77281,0.000495291,0.000495291,0.000495291
68,2227.42,0.58035,0.45835,0.98564,0.55823,0.40601,0.43647,0.30599,1.56553,2.14325,1.78185,0.000481144,0.000481144,0.000481144
69,2260.12,0.58366,0.4553,0.98192,0.56924,0.42941,0.44017,0.30408,1.5425,2.13392,1.80144,0.000466997,0.000466997,0.000466997
70,2295.31,0.57953,0.45804,0.98151,0.60055,0.42319,0.43692,0.29958,1.56729,2.18947,1.84272,0.00045285,0.00045285,0.00045285
71,2326.07,0.54716,0.42308,0.96454,0.55451,0.51201,0.46623,0.32739,1.52288,2.03718,1.7859,0.000438703,0.000438703,0.000438703
72,2359.07,0.57395,0.45446,0.98091,0.64959,0.39529,0.4588,0.32537,1.58799,2.05294,1.8578,0.000424556,0.000424556,0.000424556
73,2392,0.53596,0.4248,0.95721,0.6611,0.42447,0.46941,0.3348,1.55402,2.08223,1.8236,0.000410409,0.000410409,0.000410409
74,2422.94,0.57206,0.45314,0.9827,0.75651,0.37728,0.46546,0.33341,1.50478,2.10384,1.77958,0.000396262,0.000396262,0.000396262
75,2454.48,0.53671,0.42285,0.96112,0.50669,0.45451,0.45075,0.32111,1.5437,2.09969,1.85413,0.000382115,0.000382115,0.000382115
76,2487.6,0.55795,0.43801,0.97743,0.64127,0.39932,0.45438,0.30679,1.59646,2.06831,1.94403,0.000367967,0.000367967,0.000367967
77,2521.04,0.53448,0.42169,0.96917,0.71046,0.40893,0.46419,0.31592,1.58071,2.01976,1.88412,0.00035382,0.00035382,0.00035382
78,2551.63,0.55884,0.45661,0.9888,0.70919,0.38515,0.45589,0.30941,1.56875,2.06398,1.84478,0.000339673,0.000339673,0.000339673
79,2586.08,0.54385,0.4313,0.96833,0.51174,0.50618,0.48458,0.33546,1.56459,2.06794,1.82462,0.000325526,0.000325526,0.000325526
80,2620.04,0.54016,0.42278,0.96389,0.52657,0.44474,0.4816,0.33093,1.58767,2.13034,1.87528,0.000311379,0.000311379,0.000311379
81,2653.37,0.53585,0.41617,0.96352,0.53967,0.43679,0.47088,0.32984,1.54117,2.10283,1.833,0.000297232,0.000297232,0.000297232
82,2684.34,0.51949,0.41881,0.95435,0.61031,0.41659,0.47765,0.33465,1.54844,2.01946,1.84374,0.000283085,0.000283085,0.000283085
83,2716.72,0.53421,0.42001,0.97014,0.57722,0.47849,0.49514,0.35477,1.56348,2.00522,1.84983,0.000268938,0.000268938,0.000268938
84,2749.46,0.52521,0.41671,0.96162,0.65249,0.42934,0.48447,0.34401,1.57199,2.04495,1.83161,0.000254791,0.000254791,0.000254791
85,2782.23,0.51863,0.40961,0.95877,0.64954,0.43103,0.49848,0.35521,1.50433,2.04362,1.78925,0.000240644,0.000240644,0.000240644
86,2812.3,0.50182,0.38908,0.94202,0.63602,0.46587,0.51188,0.36061,1.50804,1.96617,1.79167,0.000226497,0.000226497,0.000226497
87,2844.71,0.51114,0.40767,0.96403,0.58712,0.497,0.51334,0.35902,1.53353,1.95159,1.79973,0.000212349,0.000212349,0.000212349
88,2877.81,0.50898,0.40183,0.95395,0.58826,0.47584,0.49633,0.34864,1.50956,1.95336,1.78539,0.000198202,0.000198202,0.000198202
89,2913.41,0.49414,0.3885,0.94813,0.67828,0.41369,0.49276,0.34726,1.53287,2.00042,1.803,0.000184055,0.000184055,0.000184055
90,2944,0.48231,0.37902,0.93332,0.66803,0.44169,0.48698,0.34692,1.5335,2.02124,1.81065,0.000169908,0.000169908,0.000169908
91,2978.12,0.42728,0.31313,0.87658,0.6979,0.40753,0.45601,0.32197,1.61322,2.1433,1.88904,0.000155761,0.000155761,0.000155761
92,3010.08,0.39706,0.28349,0.86052,0.60668,0.41905,0.45457,0.31984,1.61326,2.13499,1.87536,0.000141614,0.000141614,0.000141614
93,3041.83,0.41009,0.29234,0.87263,0.75766,0.39313,0.46668,0.3243,1.62921,2.12181,1.91153,0.000127467,0.000127467,0.000127467
94,3072.07,0.37614,0.27014,0.85535,0.60566,0.43575,0.47294,0.32829,1.61182,2.14824,1.89586,0.00011332,0.00011332,0.00011332
95,3103.32,0.36751,0.26636,0.85017,0.60442,0.43551,0.47382,0.32424,1.60732,2.14787,1.89974,9.91726e-05,9.91726e-05,9.91726e-05
96,3135.68,0.38016,0.2724,0.85108,0.59893,0.46553,0.47155,0.32999,1.62538,2.11299,1.90609,8.50255e-05,8.50255e-05,8.50255e-05
97,3166.26,0.34769,0.25322,0.84092,0.62204,0.45245,0.48003,0.3342,1.61231,2.09502,1.8829,7.08784e-05,7.08784e-05,7.08784e-05
98,3200.02,0.3608,0.27085,0.85819,0.59125,0.45862,0.48296,0.33637,1.59603,2.05819,1.88242,5.67313e-05,5.67313e-05,5.67313e-05
99,3232.37,0.35648,0.25432,0.84586,0.60231,0.45451,0.47969,0.33559,1.5945,2.09314,1.87174,4.25842e-05,4.25842e-05,4.25842e-05
100,3262.07,0.34566,0.25249,0.84273,0.59125,0.47068,0.47821,0.33214,1.6003,2.09826,1.87263,2.84371e-05,2.84371e-05,2.84371e-05
